latitude,longitude,altitude,geometry,osm_id,name,capacity,amenity,iscedlevel
19.4250971,-72.5361663,,Point,4304684170,Gon 2 ecole national D'odige de bayonnais,,school,
19.4765898,-72.6221727,,Point,4304764768,Gon 4 ecole souvenance,,school,
19.4069147,-72.5520123,,Point,4304768831,Gon 1 de-savane ecol bayonaise,,school,
19.4701306,-72.5866888,,Point,4304773113,Gon 3 ecole national Gilot,,school,
19.514674,-72.6219838,,Point,4307338495,Gon 5 poteau ecole,,school,
19.5035978,-72.604471,,Point,4307415289,Gon 6 ecole Docine poteau,,school,
18.270458600000005,-72.6676978,,Point,4317671917,Lycée Professionnel ETFAG,,school,
18.5390561,-72.3263415,,Point,4332355241,Les Joyeux Poupons,,kindergarten,
18.539107,-72.3263361,,Point,4332355242,Massillon Coicou,,school,
18.5288813,-72.3722485,,Point,4354543473,Ecole primaire,,school,
18.491369,-71.965766,,Point,4364922692,Redeemed Vocational School,,school,
18.5418595,-72.2862851,,Point,4379582489,Collège Mixte Nouvelle Semence,,school,
18.5463945,-72.2905072,,Point,4379582789,Centre Classique et Culturel des Frères Unis,,school,
18.5307686,-72.288604,,Point,4379582790,Collège Mixte Union des Educateurs,,school,
18.5585779,-72.2993052,,Point,4394718592,Institution Mixte David Mondésir,,school,
18.5399336,-73.7980727,,Point,4413922989,,,school,
18.555753,-72.3021641,,Point,4417669604,Institution St Louis de Gonzague,,school,
18.563334,-72.3003051,,Point,4423395095,College Mixte Martínez Vargas,,school,
18.308025,-74.2179015,,Point,4430955318,École Baptiste MEBSH,,school,
18.0615049,-73.8011822,,Point,4433409771,,,school,
18.1429764,-73.8446142,,Point,4433410913,,,school,
18.1826776,-73.7926283,,Point,4433410915,,,school,
18.1979309,-73.7621423,,Point,4433410916,,,school,
18.4236877,-72.8325483,,Point,4435122216,Ecole Nationale Charlemagne,7 sales,school,
18.3365436,-73.8938993,,Point,4436468380,,,school,
18.456747,-72.63363090000001,,Point,4437110404,Institute Mixte Precision,,school,
18.6441634,-74.1138799,,Point,4438073397,École Nationale Hotensuis Merlet,,school,
18.1868541,-73.9563723,,Point,4439211508,,,school,
18.1887073,-74.0187867,,Point,4439211509,,,school,
18.2016752,-73.9522297,,Point,4439211510,,,school,
18.2029874,-74.0387416,,Point,4439211511,,,school,
18.2040983,-74.0403376,,Point,4439211512,,,school,
18.205127,-74.0387235,,Point,4439211513,,,school,
18.2075221,-74.0390347,,Point,4439211514,,,school,
18.2096509,-74.0488368,,Point,4439211515,,,school,
18.2101337,-73.9913893,,Point,4439211516,,,school,
18.2102808,-73.9608972,,Point,4439211517,,,school,
18.2186625,-74.0299608,,Point,4439211518,,,school,
18.221565,-73.9845302,,Point,4439211519,École Nationale de Mont Casse,,school,
18.2295245,-74.0634428,,Point,4439211520,,,school,
18.24088,-74.0872407,,Point,4439211521,,,school,
18.241592,-74.08750490000001,,Point,4439211522,,,school,
18.2677176,-74.0918407,,Point,4439211523,,,school,
18.269573100000002,-74.1471994,,Point,4439211524,,,school,
18.2716925,-74.1597988,,Point,4439211525,,,school,
18.2739899,-74.1653764,,Point,4439211526,,,school,
18.2760105,-74.1650147,,Point,4439211527,,,school,
18.3314816,-74.1553058,,Point,4439211529,,,school,
18.348097900000003,-74.2054456,,Point,4439211530,,,school,
18.4056589,-74.2008763,,Point,4439211531,,,school,
18.4065616,-74.2310802,,Point,4439211532,,,school,
18.4598449,-74.3303828,,Point,4439212301,,,school,
18.4598809,-74.4344985,,Point,4439212302,,,school,
18.4633338,-74.4346014,,Point,4439212303,,,school,
18.4827744,-74.36438910000001,,Point,4439212304,,,school,
18.4840294,-74.4507343,,Point,4439212305,,,school,
18.564782800000003,-73.8919767,,Point,4439212306,,,school,
18.5657645,-73.8927431,,Point,4439212307,,,school,
